hidden_size,learning_rate,dropout_rate,RMSE,R2,MAE
256,0.001,0.2,5.04,0.9012,3.7461
128,0.001,0.0,5.0977,0.8989,3.7887
256,0.001,0.0,5.139,0.8973,3.7886
128,0.001,0.2,5.1723,0.8959,3.7725
64,0.001,0.0,5.269,0.892,3.838
64,0.01,0.2,5.4757,0.8833,3.9336
64,0.001,0.2,5.486,0.8829,4.065
128,0.01,0.2,5.518,0.8815,4.0666
256,0.01,0.0,5.6198,0.8771,4.0144
64,0.01,0.0,5.6661,0.8751,4.1151
256,0.05,0.2,5.68,0.8745,4.2287
128,0.05,0.0,5.8336,0.8676,4.1716
128,0.01,0.0,6.0447,0.8578,4.3131
64,0.05,0.2,6.0968,0.8554,4.7116
256,0.01,0.2,6.2144,0.8498,4.601
256,0.05,0.0,6.5923,0.8309,4.9537
64,0.05,0.0,6.6964,0.8255,4.9534
128,0.05,0.2,7.6432,0.7727,5.5506
